type,level,infoIdx,value,reward,note
0,0,50000,1,100,(play count)
0,1,50000,2,150,
0,2,50000,5,250,
0,3,50000,10,400,
0,4,50000,20,600,
0,5,50000,50,1000,
0,6,50000,100,1500,
0,7,50000,200,2000,
0,8,50000,500,3000,
1,0,50100,100,10,(use coin)
1,1,50100,200,20,
1,2,50100,500,50,
1,3,50100,1000,100,
1,4,50100,2000,200,
1,5,50100,5000,500,
1,6,50100,10000,1000,
1,7,50100,20000,2000,
1,8,50100,50000,5000,
2,0,50200,3,50,(use skill)
2,1,50200,10,100,
2,2,50200,30,200,
2,3,50200,100,400,
2,4,50200,300,800,
2,5,50200,1000,1500,
2,6,50200,3000,3000,
3,0,50300,2,150,(has pets)
3,1,50300,3,300,
3,2,50300,4,1000,
3,3,50300,5,3000,
3,4,50300,6,5000,
4,0,50400,1,50,(level up pets)
4,1,50400,2,200,
4,2,50400,5,400,
4,3,50400,10,800,
4,4,50400,20,1200,
4,5,50400,40,2000,
4,6,50400,60,3000,
5,0,50500,10000,100,(best score)
5,1,50500,50000,200,
5,2,50500,100000,400,
5,3,50500,200000,800,
5,4,50500,300000,1000,
5,5,50500,500000,1500,
